time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_enable,hall_fault
0.016,-5.239939070518443,5.239939070518443,0.0,31.872724451133013,-32.09563173648385,5.36529063689945,80.10329518157994,-4.184475658641969,1.0,-1.0,0.0,48.0,-29.476744279574866,-18.523255720425134,0.9518903024758137,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0162,-5.647272957449695,5.647272957449695,0.0,31.70777418126904,-31.908092015568712,4.410437201697655,79.66844628807448,-4.509390826314092,1.0,-1.0,0.0,48.0,-28.51059611884749,-19.48940388115251,0.9678680181522383,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0164,-6.0309831715051,6.0309831715051,0.0,31.53537871385846,-31.705131529739027,3.485705642620357,79.20204177781497,-4.815563393005428,1.0,-1.0,0.0,48.0,-27.570582050560642,-20.429417949439358,0.9837555772504148,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0166,-6.390924226975795,6.390924226975795,0.0,31.355053830557573,-31.48794428312322,2.58937460764451,78.70596311343203,-5.102851464528678,1.0,-1.0,0.0,48.0,-26.655819833927332,-21.344180166072668,0.9995468565564485,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0168,-6.726981760173455,6.726981760173455,0.0,31.166332992177207,-31.257858833448882,1.7192991323136344,78.18210510632487,-5.371131913543012,1.0,-1.0,0.0,48.0,-25.765062052949467,-22.234937947050533,1.0152361105151122,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.017,-7.039077537123115,7.039077537123115,0.0,30.96881707919498,-31.016317718591402,0.8730612769018226,77.63237345166247,-5.620312127418318,1.0,-1.0,0.0,48.0,-24.89681159660003,-23.10318840339997,1.0308179736727143,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0172,-7.327175041081931,7.327175041081931,0.0,30.76221303313996,-30.76485099816029,0.048114475638278455,77.05868111311581,-5.8503410830432845,1.0,-1.0,0.0,48.0,-24.049433458148442,-23.950566541851558,1.0462874625108065,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0174,-8.12318714368066,7.059378489314176,1.0638086543664835,30.54622547128208,-30.50490972402995,-0.7580792971244562,76.46260392127256,-6.072051395942405,0.0,-1.0,1.0,48.0,-48.0,0.0,1.0616399604666662,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0176,-8.932243259242984,6.730617629652381,2.2016256295906036,30.32005932828152,-30.237320926984314,-1.54787706017462,75.84409150327332,-6.299104217578034,0.0,-1.0,1.0,48.0,-48.0,0.0,1.0768710084264175,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0178,-9.720603236230597,6.374677769629745,3.3459254666008515,30.08287934479639,-29.962707541526232,-2.3232933226592594,75.20259879712904,-6.531687922339044,0.0,-1.0,1.0,48.0,-48.0,0.0,1.091976065089842,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.018,-10.487828814773053,5.992030208868586,4.495798605904467,29.8340015473721,-29.68164472138181,-3.085913207507149,74.53756233672007,-6.770020931521592,0.0,-1.0,1.0,48.0,-48.0,0.0,1.1069504784172541,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0182,-11.233508764518202,5.583113123136043,5.65039564138216,29.57288544151025,-29.394624226939236,-3.836831446319426,73.84839390955963,-7.014375917041056,0.0,-1.0,1.0,48.0,-48.0,0.0,1.1217894812917577,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0184,-11.957250338132994,5.148342882161632,6.808907455971361,29.29912152038707,-29.10202205210468,-4.576611390925294,73.13447641300404,-7.265052930951067,0.0,-1.0,1.0,48.0,-48.0,0.0,1.1364881861107554,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
