t,targetRpm,actualRpm,feedbackRpm,duty,carrier,pwmOn,electricalStep,hallState,ahBase,bhBase,chBase,alBase,blBase,clBase,ahPwm,bhPwm,chPwm,alPwm,blPwm,clPwm
0.0198,0,121.931714564458,0,0.12,0.9,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0199,0,122.406885278047,0,0.12,0.950000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.02,0,122.880868064851,0,0.12,0,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0201,0,123.353665894689,0,0.12,0.0500000000000007,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0202,0,123.825281729953,0,0.12,0.100000000000001,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0203,0,124.295718525628,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0204,0,124.764979229314,0,0.12,0.200000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0205,0,125.23306678124,0,0.12,0.25,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0206,0,125.699984114287,0,0.12,0.300000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0207,0,126.165734154002,0,0.12,0.35,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0208,0,126.630319818617,0,0.12,0.400000000000002,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0209,0,127.09374401907,0,0.12,0.450000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.021,0,127.556009659022,0,0.12,0.5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0211,0,128.017119634875,0,0.12,0.550000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0212,0,128.477076835788,0,0.12,0.6,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0213,0,128.935884143698,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0214,0,129.393544433339,0,0.12,0.700000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0215,0,129.850060572256,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0216,0,130.305435420825,0,0.12,0.800000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
